x,y,z
0.880127,-0.144287,0.635010
0.587158,-0.288818,0.420410
0.044922,-0.386719,0.727783
-0.334473,-0.491211,0.883789
-0.140625,-0.390381,0.975342
-0.131348,-0.399658,0.961914
-0.395508,-0.466064,0.990234
-0.008789,-0.454102,0.799072
0.360840,-0.378174,0.711182
0.630615,-0.091797,0.666992
0.730713,-0.426514,0.676025
0.586914,-0.469482,0.939453
0.312744,-0.568115,0.781250
0.263916,-0.584473,0.708008
0.319336,-0.597656,0.746338
0.305176,-0.596680,0.739990
x,y,z
0.636963,-0.276611,0.622070
0.068848,-0.449707,0.721436
-0.193604,-0.414795,0.831299
-0.138672,-0.449707,0.916016
-0.097656,-0.367676,0.968994
-0.146240,-0.385010,0.942871
-0.317139,-0.389893,0.959961
0.033691,-0.362305,0.640625
0.421143,-0.279297,0.626953
0.717529,-0.376221,0.598389
0.575928,-0.565430,0.831543
0.449951,-0.558105,0.924072
0.231689,-0.622314,0.737549
0.231934,-0.596680,0.659668
0.240967,-0.638184,0.759033
x,y,z
0.763916,-0.532227,0.804443
0.756348,-0.218262,0.302734
0.122559,-0.464111,0.776611
-0.158203,-0.502930,0.896729
-0.174805,-0.506348,0.933838
-0.138428,-0.371094,0.927979
-0.247559,-0.519775,1.053955
0.073486,-0.437988,0.771484
0.381836,-0.449951,0.667969
0.564941,-0.320068,0.547607
0.738770,-0.356689,0.612793
0.543701,-0.547607,0.854492
0.288574,-0.582520,0.831055
0.193848,-0.612061,0.716553
0.238525,-0.658203,0.687012
0.241211,-0.643799,0.704346
0.250488,-0.622803,0.710449
0.250000,-0.645508,0.694824
x,y,z
0.221191,-0.648193,0.739502
0.510498,-0.582520,0.916748
0.794678,-0.389648,0.699219
0.553467,-0.454346,0.598389
0.083252,-0.591064,0.672119
-0.198486,-0.441650,0.855469
-0.151611,-0.419434,0.945557
-0.115479,-0.507080,0.901611
-0.163086,-0.513184,0.959473
-0.208252,-0.520264,0.814209
0.285889,-0.333496,0.693604
0.421143,-0.367676,0.704346
0.610352,-0.526367,0.744385
0.567383,-0.346191,0.781494
0.503174,-0.601807,0.852051
0.294678,-0.607910,0.715820
0.261719,-0.591309,0.694092
0.272217,-0.596436,0.735352
x,y,z
0.722900,-0.623291,0.971924
0.757324,-0.236816,0.637451
0.436523,-0.556152,0.593018
0.061768,-0.297852,0.860352
-0.133301,-0.436279,0.725586
-0.150635,-0.523682,1.002930
-0.098389,-0.455566,0.931396
-0.263672,-0.434326,1.023438
-0.150635,-0.371338,0.815918
0.297363,-0.378906,0.695312
0.588135,-0.364014,0.691162
0.533447,-0.478271,0.779785
0.563477,-0.539062,0.994141
0.289795,-0.520752,0.768066
0.198486,-0.588135,0.749756
0.216309,-0.574219,0.780762
0.237549,-0.580811,0.749512
x,y,z
0.729980,-0.287598,0.669922
0.320801,-0.312744,0.633789
-0.130371,-0.376953,0.702637
-0.284424,-0.368164,1.106934
-0.116699,-0.286377,1.019043
-0.232178,-0.324951,1.055176
-0.338623,-0.402832,1.071045
0.256348,-0.261963,0.619141
0.572266,-0.234131,0.636230
0.775146,-0.204346,0.729492
0.583252,-0.417725,0.814697
