x,y,z
0.166504,-0.223145,0.994385
0.229736,-0.195801,0.954834
0.200195,-0.285889,0.914062
0.188232,-0.265137,0.923096
0.183105,-0.262207,0.935059
0.196045,-0.324707,0.922607
0.180908,-0.306641,0.963623
0.177002,-0.302246,0.921387
0.174805,-0.296631,0.920410
0.171875,-0.296875,0.941162
x,y,z
0.173340,-0.294434,0.949951
0.170410,-0.201416,0.941406
0.140381,-0.040039,1.040039
0.135254,-0.788330,-0.125977
0.228271,-0.918213,-0.564941
0.233887,-0.937744,-0.499268
0.240723,-1.044678,-0.550293
0.155273,-0.469482,0.074951
0.130127,-0.250244,0.894043
0.182617,-0.157959,0.929688
0.166992,-0.217529,0.955322
0.174805,-0.240723,0.941650
0.170654,-0.224121,0.964355
x,y,z
0.158447,-0.217041,0.925781
0.189941,-1.082275,-0.613037
0.293457,-0.865967,-0.599854
0.265137,-0.858154,-0.520508
0.252686,-0.828613,-0.489746
0.235107,-1.225830,-0.291992
0.114258,0.003906,0.991699
0.176270,-0.350586,0.917480
0.191162,-0.330078,0.936279
0.189697,-0.363525,0.896729
0.179443,-0.332764,0.914795
x,y,z
0.129639,-0.068115,0.778809
0.285645,-0.887695,-0.501221
0.233154,-0.806152,-0.544678
0.260254,-0.827393,-0.589355
0.300537,-1.154053,-0.485596
0.171387,0.225342,0.724365
0.184570,-0.282471,0.894775
0.176025,-0.352539,0.901367
0.194092,-0.337646,0.916260
0.184570,-0.375000,0.931641
x,y,z
0.191650,-0.372803,0.905273
0.195801,-0.375000,0.918701
0.194824,-0.309082,0.921143
0.164551,-0.142334,0.931641
0.263184,-1.008301,-0.452393
0.236816,-0.854492,-0.604736
0.225098,-0.771729,-0.635010
0.245117,-0.826904,-0.605469
0.280029,-1.074707,-0.517822
0.151123,0.048828,0.707031
0.202393,-0.294189,0.910156
0.196777,-0.421875,0.888916
0.231201,-0.380371,0.864258
0.197510,-0.409912,0.894775
x,y,z
0.206055,-0.444580,0.931396
0.216797,-0.370605,0.849609
0.196289,-0.275879,0.817383
0.450439,-1.259521,-0.939697
0.331787,-0.749512,-0.618652
0.279541,-0.658203,-0.768555
0.276367,-0.687012,-0.681396
0.295654,-0.888428,-0.594482
0.117432,-0.566895,0.528320
0.119141,-0.474121,0.888428
0.146973,-0.485840,0.810547
0.165771,-0.432861,0.876465
0.199219,-0.453125,0.878662
0.169434,-0.495605,0.858398
0.245850,-0.428223,0.841309
0.199219,-0.506104,0.797852
0.217041,-0.510010,0.851562
x,y,z
0.246338,-0.304199,0.865723
0.206787,-0.864990,-0.072998
0.292969,-0.787598,-0.576416
0.272949,-0.812012,-0.555908
0.277588,-0.833740,-0.548340
0.277588,-0.809326,-0.111816
0.123291,-0.254883,0.964844
0.192871,-0.352295,0.906982
0.178955,-0.302002,0.929199
0.195068,-0.382812,0.893799
0.201416,-0.391357,0.891113
x,y,z
0.209473,-0.373291,0.889160
0.202637,-0.383301,0.892578
0.213379,-0.349609,0.872803
0.129639,-0.277588,0.918945
0.035400,-0.962402,0.081299
0.441162,-0.829590,-0.468994
0.320068,-0.823730,-0.517578
0.353271,-0.924561,-0.556152
0.254639,-0.866455,0.161377
0.148193,-0.344238,0.893799
0.195801,-0.478760,0.851807
0.206299,-0.427002,0.846924
0.210449,-0.469482,0.859863
0.219238,-0.485107,0.826904
x,y,z
0.194580,-0.415527,0.822266
0.107666,-0.702148,0.476074
0.251221,-0.867188,-0.524170
0.244385,-0.719727,-0.720703
0.258301,-0.818604,-0.667969
0.309326,-1.165283,-0.444336
0.214355,-0.558838,0.620605
0.181885,-0.270264,0.913574
0.205811,-0.351318,0.879395
0.209229,-0.308838,0.903320
0.172363,-0.417236,0.864258
x,y,z
0.080078,-0.260010,0.586914
0.347412,-0.906738,-0.706055
0.296143,-0.676270,-0.670898
0.319580,-0.736084,-0.708008
0.353760,-1.110596,-0.531006
0.159912,0.031250,0.706299
0.209717,-0.402832,0.845703
0.213135,-0.465820,0.873047
0.229004,-0.493896,0.854248
0.235352,-0.440186,0.836426
0.226318,-0.490234,0.843018
x,y,z
0.206543,-0.431641,0.861328
0.188232,-0.424805,0.877441
0.189209,-0.350342,0.576904
0.304199,-1.147949,-0.517090
0.279053,-0.813965,-0.608643
0.314697,-0.789307,-0.667969
0.301514,-1.126465,-0.405762
0.199463,-0.321289,0.626709
0.167236,-0.215332,0.946533
0.197998,-0.401855,0.901123
0.219482,-0.366699,0.890137
0.198975,-0.381348,0.888184
0.218018,-0.396729,0.891357
0.210205,-0.385254,0.865967
x,y,z
0.258057,-0.242432,0.912842
0.131592,-0.699707,0.079834
0.187988,-0.804932,-0.598389
0.226562,-0.796631,-0.727783
0.244629,-0.817871,-0.733887
