x,y,z
0.324951,-0.926758,0.182861
0.400391,-0.742188,0.16748
0.630127,-0.929688,0.050781
0.682373,-0.796387,-0.061523
0.61499,-0.862793,-0.19458
0.438965,-0.761963,-0.125977
0.370605,-0.86499,0.003418
0.358398,-0.888428,0.059814
0.462158,-0.883545,0.046875
0.490723,-0.852295,-0.008057
x,y,z
0.505615,-0.838623,-0.053467
0.499023,-0.843994,-0.05957
0.555664,-0.856689,-0.159912
0.400391,-0.872803,-0.179199
0.246582,-0.928467,0.057861
0.227295,-0.884766,0.140137
0.39502,-0.835205,0.080078
0.654785,-0.858398,0.095459
0.7771,-0.892334,0.019531
0.644531,-0.681885,-0.09668
0.430176,-0.874023,-0.112793
0.29541,-0.880127,0.081543
0.376953,-0.95459,0.031494
0.220459,-0.908203,0.046875
0.086914,-0.916016,0.144531
0.122803,-0.906982,0.102295
0.609619,-0.979492,0.133057
0.78418,-0.883789,0.005127
0.634521,-0.755615,-0.207275
0.505859,-0.857178,-0.146973
0.330811,-0.818115,-0.009766
0.370117,-0.926025,0.113525
0.393066,-0.945801,0.127197
x,y,z
0.331543,-0.916992,-0.178955
0.209229,-0.928467,0.000244
0.488037,-0.913574,0.03833
0.583252,-0.868164,0.11084
0.723633,-0.831787,0.111084
0.634033,-0.818359,-0.166504
0.345703,-0.755127,-0.174805
0.375,-0.921387,0.088379
0.42334,-0.892822,-0.110352
0.272217,-0.891846,0.026611
0.16333,-0.912842,0.133789
0.302002,-0.84082,0.267822
0.653809,-0.852295,-0.008789
0.773682,-0.875488,-0.11084
0.53125,-0.818604,-0.298584
0.330811,-0.933838,-0.195557
0.310791,-0.902588,0.042725
0.393066,-0.876465,0.18457
0.452637,-0.876953,0.051514
x,y,z
0.601074,-0.844727,-0.095703
0.535645,-0.808105,-0.127441
0.423584,-0.832764,-0.22168
0.304199,-0.843506,-0.171143
0.225342,-0.961914,0.000244
0.307129,-0.898682,0.074707
0.474121,-0.855225,0.069092
0.627686,-0.996582,0.077881
0.614502,-0.934082,0.001709
0.496826,-0.772461,-0.16333
0.42041,-0.862305,-0.074463
0.323486,-0.854004,-0.182617
0.206055,-0.942383,-0.101318
0.245361,-0.893799,0.119629
0.442139,-0.703125,0.131836
0.65332,-1.100342,0.112549
0.583008,-0.781006,0.002441
0.514648,-0.854492,-0.089111
0.438721,-0.891846,-0.122803
0.384277,-0.881836,0.026611
0.432129,-0.865967,0.032471
0.488281,-0.820068,-0.009277
0.539795,-0.825684,-0.07251
x,y,z
0.50415,-0.804199,-0.076172
0.571777,-0.789551,-0.134033
0.621338,-0.822998,-0.318115
0.44043,-0.750977,-0.477295
0.24292,-0.869385,-0.112793
0.181641,-0.86792,0.034668
0.400146,-0.9729,0.125488
0.68042,-1.033691,0.103516
0.643555,-0.821777,0.012939
0.51416,-0.852051,-0.216064
0.298584,-0.859131,-0.159912
0.410645,-0.965332,-0.234375
0.354736,-0.821777,-0.204834
0.296143,-0.962402,0.051758
0.317139,-0.927734,0.081787
0.464111,-0.912598,0.15625
0.588623,-0.912842,0.137207
0.577637,-0.990234,0.040039
0.466309,-0.838135,-0.029053
0.390625,-0.828613,-0.018799
0.398926,-0.873047,0.076416
0.46875,-0.852783,0.028564
x,y,z
0.33252,-0.800537,-0.350342
0.274902,-0.973633,-0.11792
0.44458,-0.85498,-0.010986
0.55249,-0.769531,0.016602
0.771729,-0.840332,0.063232
0.756836,-0.63623,0.146484
0.554443,-0.912354,-0.099121
0.455811,-1.000732,-0.312988
0.318604,-0.89624,-0.322754
0.210938,-0.865967,-0.353027
0.184082,-0.938965,-0.179443
0.273438,-0.911865,-0.023193
0.499268,-0.904053,0.006348
0.658447,-0.886719,-0.036377
0.723633,-0.891602,-0.117188
0.579346,-0.675049,-0.11792
0.359619,-0.845703,-0.138184
0.361084,-0.919922,-0.013184
0.477539,-0.857666,-0.051514
0.498535,-0.847656,-0.06543
x,y,z
0.516113,-0.819092,-0.124268
0.53833,-0.816406,-0.134033
0.594482,-0.761719,-0.235352
0.449463,-0.845215,-0.399658
0.234375,-0.882568,-0.342773
0.250244,-0.894775,-0.0896
0.297607,-0.87915,-0.070068
0.516113,-0.942383,0.064697
0.567383,-0.791748,0.145508
0.588867,-0.969727,-0.013916
0.543213,-0.849365,-0.114746
0.448975,-0.846191,-0.203369
0.311279,-0.782471,-0.317627
0.195312,-0.894775,-0.306152
0.242188,-0.859619,-0.103271
0.284424,-0.958252,0.061523
0.445801,-0.945068,0.076416
0.556885,-0.875732,0.091064
0.535889,-0.877441,-0.00293
0.604736,-0.893799,-0.11377
0.50415,-0.844238,-0.15918
0.360352,-0.860107,-0.16626
0.292236,-0.877441,0.058838
0.447754,-0.842285,0.105469
x,y,z
0.372314,-0.788574,-0.363525
0.289795,-0.843506,-0.157959
0.360596,-0.871338,0.063721
0.418945,-0.831543,0.019775
0.710938,-0.845459,0.067383
0.724365,-0.761719,0.073975
0.615234,-0.848633,-0.001709
0.495361,-0.740967,-0.126709
0.360596,-0.798828,-0.122559
0.396484,-0.826416,-0.282227
0.269287,-0.885498,-0.206055
0.178955,-1.019043,-0.134033
0.463867,-0.864746,0.113525
0.516357,-0.831055,0.019531
0.633301,-0.905518,0.074463
0.658447,-0.925293,-0.116455
0.48291,-0.8396,-0.053711
0.45459,-0.813965,-0.05127
0.406006,-0.860352,-0.026367
0.463135,-0.844482,0.0271
x,y,z
0.511719,-0.824219,-0.090576
0.570557,-0.80835,-0.105469
0.607666,-0.73584,-0.22583
0.438232,-0.835938,-0.435303
0.319336,-0.837402,-0.291016
0.141357,-0.939941,-0.029785
0.286621,-0.878906,0.103027
0.52417,-0.917969,0.212891
0.577637,-0.880615,0.275146
0.549316,-0.791992,0.200439
0.558105,-1.091553,-0.196533
0.379395,-0.905273,-0.288086
0.297852,-0.87915,-0.265869
0.1521,-0.918945,-0.197998
0.259033,-0.935059,-0.078613
0.410645,-0.864746,0.0979
0.435059,-0.915039,0.10791
0.605225,-0.849121,0.152832
0.666016,-0.922363,0.090332
0.506592,-0.932617,-0.021484
0.358398,-0.855713,-0.048828
0.314941,-0.961914,0.028564
0.335205,-0.867676,0.062012
x,y,z
0.390381,-0.866211,-0.218994
0.196289,-0.847656,-0.077393
0.213623,-0.918213,-0.018311
0.304443,-0.859619,0.192627
0.568359,-1.088623,0.282959
