1,-0.0049,0.029,0.1985
2,-0.0117,0.0463,0.398
3,-0.0146,0.0677,0.5958
4,-0.019,0.0944,0.7963
5,-0.0258,0.1199,0.9973
6,-0.0258,0.1197,0.9971
7,-0.0231,0.1287,0.9973
8,-0.0252,0.1326,0.9992
9,-0.0255,0.1314,0.9973
10,-0.0228,0.1289,0.9951
11,-0.0228,0.125,0.9969
12,-0.0238,0.1252,0.9976
13,-0.0232,0.1245,0.9969
14,-0.0228,0.1224,0.9978
15,-0.0246,0.1272,0.9989
16,-0.0246,0.125,0.9987
17,-0.0243,0.1222,0.9982
18,-0.0245,0.1238,0.9983
19,-0.0238,0.1224,0.9992
20,-0.0235,0.1185,0.9985
21,-0.0234,0.1208,0.9975
22,-0.023,0.1212,0.9966
23,-0.023,0.1196,0.9974
24,-0.0238,0.1225,0.9972
25,-0.0229,0.1232,0.9972
26,-0.0218,0.1226,0.9979
27,-0.0212,0.1221,0.9972
28,-0.0213,0.122,0.9965
29,-0.0217,0.1221,0.9966
30,-0.0226,0.1231,0.9977
31,-0.0227,0.1224,0.9966
32,-0.0224,0.1203,0.9979
33,-0.0221,0.1217,0.9975
34,-0.0216,0.1212,0.9963
35,-0.0202,0.1207,0.9949
36,-0.0213,0.122,0.9965
37,-0.0222,0.1257,0.9954
38,-0.0212,0.1229,0.9955
39,-0.0212,0.1237,0.9961
40,-0.0227,0.1216,0.9959
41,-0.0197,0.1258,0.9934
42,-0.0191,0.1275,0.9957
43,-0.0214,0.1283,0.9952
44,-0.0196,0.1206,0.9934
45,-0.0179,0.1228,0.9948
46,-0.0224,0.12,0.9974
47,-0.0228,0.1126,0.9952
48,-0.0208,0.1127,0.9961
49,-0.0235,0.1209,0.997
50,-0.0234,0.1172,0.9958
51,-0.0205,0.1157,0.9954
52,-0.0213,0.1235,0.996
53,-0.0217,0.1227,0.995
54,-0.0205,0.1198,0.9958
55,-0.0218,0.1227,0.9964
56,-0.0227,0.1218,0.996
57,-0.0214,0.1178,0.9956
58,-0.0214,0.1205,0.9961
59,-0.0221,0.1226,0.9957
60,-0.0218,0.1282,0.9947
61,-0.0217,0.1267,0.9947
62,-0.0236,0.1188,0.9956
63,-0.0247,0.1041,0.997
64,-0.0276,0.0945,0.999
65,-0.0241,0.0987,1.0036
66,-0.0238,0.107,1.0044
67,-0.0313,0.1313,1.0118
68,-0.0124,0.1504,1.0077
69,-0.0025,0.2517,0.9994
70,-0.0005,0.2843,0.9819
71,0.0081,0.3281,0.9548
72,0.0039,0.3735,0.9047
73,-0.0356,0.4652,0.8333
74,-0.0593,0.5146,0.7349
75,-0.0924,0.6388,0.6173
76,-0.1388,0.7735,0.4761
77,-0.1642,0.8875,0.3239
78,-0.1825,0.959,0.1842
79,-0.1988,0.9892,0.0485
80,-0.2056,1.0031,-0.0753
81,-0.2083,0.9839,-0.1717
82,-0.2153,0.9672,-0.2504
83,-0.2211,0.9526,-0.3181
84,-0.2306,0.9342,-0.3642
85,-0.2415,0.9029,-0.3963
86,-0.2441,0.8857,-0.428
87,-0.2479,0.8799,-0.449
88,-0.2542,0.8753,-0.4584
89,-0.2583,0.8691,-0.4611
90,-0.2593,0.8672,-0.4637
91,-0.2643,0.867,-0.4556
92,-0.2606,0.8624,-0.4468
93,-0.2572,0.8607,-0.4406
94,-0.2598,0.863,-0.4365
95,-0.2647,0.8643,-0.4326
96,-0.2668,0.8648,-0.43
97,-0.2721,0.8682,-0.4285
98,-0.2715,0.8705,-0.4266
99,-0.2672,0.873,-0.4245
100,-0.2548,0.875,-0.4184
101,-0.2456,0.8777,-0.4097
102,-0.2345,0.8789,-0.4029
103,-0.2318,0.8834,-0.3985
104,-0.2328,0.8866,-0.3916
105,-0.2361,0.8916,-0.3934
106,-0.237,0.8981,-0.3964
107,-0.2438,0.909,-0.3897
108,-0.2343,0.9238,-0.3846
109,-0.2388,0.9427,-0.3775
110,-0.2403,0.9767,-0.349
111,-0.2358,0.9833,-0.3197
112,-0.2206,0.9946,-0.3016
113,-0.2104,1.0096,-0.253
114,-0.191,0.9926,-0.1832
115,-0.1699,0.9818,-0.1118
116,-0.1592,0.9834,-0.0194
117,-0.1513,0.9474,0.0958
118,-0.1556,0.9398,0.1843
119,-0.1485,0.9513,0.2727
120,-0.153,0.8895,0.3626
121,-0.1551,0.8761,0.4321
122,-0.142,0.8792,0.4925
123,-0.1303,0.8009,0.5727
124,-0.1294,0.7593,0.6269
125,-0.0963,0.7455,0.6718
126,-0.0822,0.6417,0.7302
127,-0.0853,0.5504,0.7814
128,-0.0616,0.5026,0.8195
129,-0.0324,0.3831,0.8651
130,-0.0529,0.2907,0.9056
131,-0.0118,0.2434,0.9309
132,0.0034,0.1439,0.9624
133,0.0016,0.0738,0.9831
134,0.0097,0.0473,0.9927
135,0.02,-0.0131,1.0037
136,-0.0015,-0.0475,1.0074
137,0.0014,-0.024,0.9972
138,0.0033,-0.0395,0.9938
139,-0.0094,-0.0666,0.9946
140,-0.001,-0.0546,0.9862
141,-0.0014,-0.0601,0.9845
142,0.0046,-0.0741,1.007
143,-0.006,-0.061,1.0155
144,-0.0031,-0.0424,1.0211
145,-0.0022,-0.0383,1.0277
146,-0.0088,-0.0213,1.0271
147,-0.0165,-0.0047,1.0084
148,-0.0119,-0.0146,0.9996
149,-0.0166,-0.0116,0.9979
150,-0.0187,-0.0022,0.9992
151,-0.0167,-0.0099,1.0003
152,-0.0164,-0.0129,1.0014
153,-0.0129,-0.011,1.0042
154,-0.0089,-0.0113,1.0035
155,-0.0094,-0.0136,1.001
156,-0.0088,-0.0122,1.004
157,-0.0077,-0.0109,1.0042
158,-0.0092,-0.0085,1.0028
159,-0.0074,-0.0113,1.002
160,-0.0109,-0.0071,1.0003
161,-0.0072,-0.0099,1.0025
162,-0.0065,-0.0121,1.0044
163,-0.0025,-0.0057,1.0039
164,0.0004,0.0001,1.0039
165,0.0073,-0.0002,1.0067
166,0.0056,-0.0026,1.004
167,0.0032,0.0028,1.0024
168,0.0059,0.0092,1.0055
169,-0.0001,0.0091,1.0061
170,-0.0054,0.0078,1.0061
171,-0.0089,0.0168,1.0076
172,-0.011,0.0152,1.0038
173,-0.0172,0.006,1.003
174,-0.0153,0.007,1.0033
175,-0.0117,0.0037,1.0024
176,-0.0073,0.0083,1.0036
177,-0.0015,0.0135,1.0143
178,0,0.0169,1.0156
179,-0.0006,0.0195,1.0198
180,-0.0022,0.0364,1.0237
181,-0.0104,0.0632,1.0215
182,-0.0172,0.1068,1.0136
183,-0.019,0.1392,1.0133
184,-0.0238,0.1535,1.0082
185,-0.028,0.1729,0.9961
186,-0.029,0.2014,0.9821
187,-0.0355,0.2296,0.9642
188,-0.0475,0.2778,0.9353
189,-0.0604,0.3475,0.9027
190,-0.0741,0.421,0.865
191,-0.0919,0.482,0.8193
192,-0.1121,0.545,0.7661
193,-0.1312,0.6217,0.6954
194,-0.1503,0.7124,0.6123
195,-0.1689,0.7959,0.5294
196,-0.1837,0.8666,0.4383
197,-0.1956,0.9202,0.3427
198,-0.2075,0.9548,0.2606
199,-0.2158,0.9682,0.1775
200,-0.2256,0.9719,0.0942
201,-0.2299,0.9771,0.0234
202,-0.2346,0.9841,-0.0392
203,-0.2376,0.9806,-0.0926
204,-0.2371,0.9765,-0.1239
205,-0.2338,0.9656,-0.1509
206,-0.2337,0.9507,-0.1701
207,-0.2322,0.9364,-0.1828
208,-0.231,0.9323,-0.2022
209,-0.233,0.9304,-0.2285
210,-0.2313,0.9399,-0.2472
211,-0.2282,0.9429,-0.2695
212,-0.2229,0.9418,-0.2924
213,-0.2175,0.9414,-0.3077
214,-0.2126,0.9421,-0.3232
215,-0.2116,0.938,-0.3413
216,-0.2097,0.9395,-0.3528
217,-0.2101,0.9349,-0.3619
218,-0.2098,0.928,-0.37
219,-0.2094,0.9228,-0.3748
220,-0.2076,0.9155,-0.3757
221,-0.2075,0.9095,-0.3772
222,-0.2083,0.9062,-0.3802
223,-0.2082,0.9058,-0.3806
224,-0.208,0.901,-0.3812
225,-0.2082,0.8995,-0.3831
226,-0.2096,0.8989,-0.3825
227,-0.2092,0.9019,-0.3789
228,-0.2095,0.9035,-0.3773
229,-0.2073,0.9059,-0.3743
230,-0.2092,0.9084,-0.37
231,-0.2061,0.9112,-0.3689
232,-0.2055,0.9132,-0.3666
233,-0.2044,0.9179,-0.3635
234,-0.2059,0.9227,-0.3595
235,-0.2044,0.9248,-0.3524
236,-0.2055,0.9278,-0.3407
237,-0.2045,0.9317,-0.3309
238,-0.2031,0.9362,-0.3177
239,-0.2024,0.9402,-0.3053
240,-0.2005,0.9418,-0.2944
241,-0.2,0.944,-0.284
242,-0.1967,0.9488,-0.2756
243,-0.1961,0.9594,-0.2696
244,-0.1956,0.9666,-0.2527
245,-0.1924,0.9647,-0.2277
246,-0.1908,0.972,-0.1979
247,-0.1922,0.9821,-0.1551
248,-0.1907,0.9671,-0.1027
249,-0.1872,0.9549,-0.0554
250,-0.1883,0.9895,-0.0164
251,-0.1865,1.0016,0.0255
252,-0.1819,0.9728,0.075
253,-0.178,0.9803,0.126
254,-0.1729,1.0021,0.1738
255,-0.1654,0.9592,0.2329
256,-0.1573,0.9175,0.2978
257,-0.1514,0.9399,0.3441
258,-0.1426,0.9252,0.3886
259,-0.1377,0.8639,0.4413
260,-0.1343,0.8678,0.4855
261,-0.1218,0.8639,0.5248
262,-0.1188,0.79,0.5779
263,-0.1206,0.7725,0.6199
264,-0.0977,0.7764,0.6586
265,-0.0968,0.6887,0.7074
266,-0.0986,0.64,0.7509
267,-0.0721,0.631,0.7826
268,-0.0654,0.5367,0.8265
269,-0.0712,0.4548,0.866
270,-0.0441,0.4535,0.8876
271,-0.0325,0.3782,0.9149
272,-0.041,0.2958,0.9408
273,-0.0264,0.2884,0.9527
274,-0.0143,0.2535,0.9642
275,-0.0258,0.1796,0.9822
276,-0.0149,0.1823,0.9856
277,-0.0021,0.1681,0.9908
278,-0.0005,0.108,1.0006
279,-0.004,0.0896,1.0047
280,0.0103,0.089,1.005
281,0.0065,0.0503,1.0088
282,-0.0007,0.0454,1.0072
283,0.0061,0.059,1.0052
284,0.0096,0.0514,1.0052
285,0.0073,0.0417,1.0046
286,0.0117,0.0584,1.0012
287,0.0146,0.0568,1.0033
288,0.0129,0.0473,1.0026
289,0.0106,0.0624,1.0012
290,0.0105,0.0801,0.9997
291,0.0087,0.0723,1.0034
292,0.0066,0.0736,1.0021
293,0.0072,0.0861,1.0025
294,0.0086,0.0811,1.0023
295,0.0077,0.0695,1.0045
296,0.0061,0.074,1.0021
297,0.0097,0.0845,1.0016
298,0.0055,0.0831,1.0025
299,0.0054,0.0868,1.0027
300,0.0032,0.0907,1.002
301,0.0027,0.0954,1.0033
302,-0.0012,0.0998,1.003
303,-0.0001,0.1116,1
304,-0.0029,0.1122,0.9996
305,-0.004,0.1185,0.9979
306,-0.0052,0.1225,0.9949
307,-0.005,0.1163,0.9939
308,-0.0058,0.1142,0.9923
309,-0.005,0.1201,0.9915
310,-0.0059,0.1155,0.9936
311,-0.0082,0.115,0.9942
312,-0.0079,0.1257,0.9952
313,-0.0078,0.1199,1.0004
314,-0.0105,0.1138,1.0042
315,-0.0095,0.1184,1.0035
316,-0.0098,0.1223,1.0031
317,-0.0135,0.124,1.0006
318,-0.017,0.1489,0.9919
319,-0.0207,0.1901,0.9784
320,-0.0252,0.2313,0.9654
321,-0.0311,0.2746,0.9508
322,-0.0369,0.3226,0.9299
323,-0.0455,0.3724,0.9067
324,-0.0555,0.4218,0.8825
325,-0.0664,0.481,0.848
326,-0.0779,0.5475,0.806
327,-0.0899,0.6213,0.7626
328,-0.0993,0.6924,0.7077
329,-0.1108,0.7536,0.6458
330,-0.1211,0.8098,0.5876
331,-0.1312,0.8529,0.5234
332,-0.1411,0.8813,0.4565
333,-0.1506,0.9032,0.3957
334,-0.1584,0.9254,0.3325
335,-0.167,0.9393,0.2664
336,-0.1755,0.9486,0.2049
337,-0.1844,0.9654,0.1433
338,-0.1928,0.9766,0.0808
339,-0.1994,0.978,0.0245
340,-0.2059,0.9757,-0.0306
341,-0.2098,0.9803,-0.0814
342,-0.2119,0.9758,-0.1277
343,-0.2143,0.9708,-0.1688
344,-0.2163,0.9685,-0.204
345,-0.216,0.9702,-0.2302
346,-0.2174,0.9632,-0.252
347,-0.2159,0.955,-0.2659
348,-0.2157,0.9478,-0.2715
349,-0.2117,0.9379,-0.276
350,-0.2111,0.9286,-0.2809
351,-0.2088,0.9281,-0.2844
352,-0.2104,0.9292,-0.2913
353,-0.209,0.9292,-0.3002
354,-0.2094,0.9337,-0.3089
355,-0.2083,0.9379,-0.3157
356,-0.2068,0.9362,-0.3184
357,-0.2045,0.9357,-0.3168
358,-0.2026,0.9389,-0.3154
359,-0.2023,0.936,-0.3115
360,-0.2011,0.9337,-0.3088
361,-0.202,0.932,-0.3073
