16 1/2,-0.305176,0.690674,0.654053
16 5/8,-0.27417,0.873291,0.540283
16 3/4,-0.187012,0.984863,0.411377
16 7/8,-0.078613,0.956299,0.281738
17    ,0.079346,0.96582,0.30835
17 1/8,0.116943,0.928467,0.392578
17 1/4,0.165039,0.87085,0.45752
17 3/8,0.186523,0.886963,0.430176
17 1/2,0.118164,0.843506,0.487305
17 5/8,0.113525,0.894043,0.516357
17 3/4,-0.016602,0.889648,0.597412
17 7/8,-0.188721,0.839844,0.615967
18    ,-0.166992,0.837891,0.426514
18 1/8,-0.186523,0.835693,0.442139
18 1/4,-0.216797,0.911621,0.485107
18 3/8,-0.121582,0.847168,0.444824
18 1/2,0.034668,0.979248,0.279541
18 5/8,0.148926,0.871338,0.328369
18 3/4,0.109131,0.906006,0.411377
18 7/8,0.184082,0.867676,0.377197
19    ,0.119629,0.853516,0.493896
19 1/8,0.156738,0.888672,0.491211
19 1/4,0.215332,0.965088,0.445312
19 3/8,-0.022461,0.850586,0.661133
19 1/2,-0.111084,0.806885,0.60791
19 5/8,-0.248779,0.768799,0.474365
19 3/4,-0.11499,0.855225,0.453369
19 7/8,-0.076416,0.902588,0.456543
20    ,-0.044922,0.886963,0.446777
20 1/8,-0.074707,0.858643,0.531738
20 1/4,-0.083008,0.854248,0.529541
20 3/8,-0.069336,0.861328,0.530762
20 1/2,-0.073242,0.862061,0.5271
20 5/8,-0.072266,0.845459,0.502686
20 3/4,-0.070801,0.904053,0.588135
20 7/8,-0.132568,0.751709,0.595703
21    ,-0.135986,0.83667,0.530762
21 1/8,-0.092285,0.887451,0.455566
21 1/4,0.020508,0.884766,0.400146
21 3/8,0.131592,0.948975,0.37793
21 1/2,0.154785,0.900146,0.393799
21 5/8,0.183105,0.900879,0.405518
21 3/4,0.094238,0.793945,0.526367
21 7/8,0.11792,0.790771,0.549561
22    ,0.032959,0.898193,0.494873
22 1/8,-0.152588,0.891846,0.621826
22 1/4,-0.250732,0.777588,0.608398
22 3/8,-0.296387,0.827148,0.501221
22 1/2,-0.314209,0.809082,0.453369
22 5/8,-0.266113,0.795166,0.48291
22 3/4,-0.024414,1.02002,0.355957
22 7/8,0.097656,0.875488,0.332275
23    ,0.057861,0.923584,0.35376
23 1/8,0.111572,0.912842,0.390869
23 1/4,0.120605,0.867432,0.454102
23 3/8,0.089844,0.91333,0.456055
23 1/2,0.135498,0.868652,0.427734
23 5/8,0.050537,0.900391,0.609375
23 3/4,-0.096436,0.801514,0.587158
23 7/8,-0.1875,0.813232,0.54834
24    ,-0.334717,0.772705,0.479004
24 1/8,-0.369629,0.933105,0.441406
24 1/4,-0.180664,0.930664,0.361084
24 3/8,-0.008301,0.932373,0.397217
24 1/2,0.070312,0.886719,0.378662
24 5/8,0.096436,0.918701,0.380859
24 3/4,0.012207,0.964355,0.454346
24 7/8,0.052734,0.857178,0.460205
25    ,0.13501,0.861328,0.491943
25 1/8,0.070312,0.832764,0.571289
25 1/4,0.060791,0.900635,0.617188
25 3/8,-0.170654,0.785889,0.528564
25 1/2,-0.245605,0.800537,0.623291
25 5/8,-0.321777,0.804688,0.424561
25 3/4,-0.31958,0.894531,0.505859
25 7/8,-0.231201,0.84082,0.392334
26    ,-0.176514,0.941895,0.439209
26 1/8,-0.11499,0.906738,0.469727
26 1/4,-0.131348,0.874512,0.500977
26 3/8,-0.166016,0.861084,0.518799
26 1/2,-0.160156,0.834961,0.535156
26 5/8,-0.165283,0.814209,0.542725
26 3/4,-0.162109,0.813965,0.55542
26 7/8,-0.155518,0.814697,0.565918
27    ,-0.157227,0.811035,0.574707
27 1/8,-0.165771,0.817383,0.560303
27 1/4,-0.149414,0.827393,0.584717
27 3/8,-0.171875,0.802979,0.565918
27 1/2,-0.175781,0.816406,0.571045
27 5/8,-0.171143,0.803955,0.56958
27 3/4,-0.177002,0.810791,0.572021
27 7/8,-0.175293,0.80542,0.574707
28    ,-0.198242,0.803223,0.5896
28 1/8,-0.188477,0.796387,0.55957
28 1/4,-0.188965,0.804932,0.585693
28 3/8,-0.191406,0.802979,0.576172
28 1/2,-0.214111,0.803223,0.585205
28 5/8,-0.2146,0.793457,0.597412
28 3/4,-0.217773,0.796387,0.579102
